Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'},0.0228,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",0.8053,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.2000,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",0.6957,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.1475,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",0.7923,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.2343,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",0.7561,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.1194,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.9362,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",3.0442,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.6975,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",2.6249,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.9799,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",2.9838,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\3'}",1.7990,True,0.6667
