Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
BruteForce,"{'max_time': inf, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",0.0010,True,0.6667,0.0000,0.3333,inf,1500,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.0796,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.2081,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.3936,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.5564,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.2590,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.4455,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.5705,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.7315,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\1'}",1.0696,True,0.6667,0.0000,0.3333,20,1500,No improvement threshold reached
