Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",2.6503,True,1.0000
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",3.4793,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",2.8250,True,1.0000
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",3.4933,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",2.7136,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",3.4267,True,0.8750
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 1000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0280,False,22.0000
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 2000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0406,False,32.1667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 1000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0206,False,13.6250
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 2000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0471,False,15.1250
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 1000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0214,False,24.1667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 2000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0427,False,29.1667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 1000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0202,False,12.5000
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 2000, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.0425,False,45.3333
